agent,timestep,location,x,y,orientation
4,135,514,4,17,-1
4,136,484,4,16,-1
4,137,485,5,16,-1
4,138,486,6,16,-1
4,139,487,7,16,-1
0,140,801,21,26,-1
0,141,800,20,26,-1
0,142,799,19,26,-1
0,143,798,18,26,-1
0,144,797,17,26,-1
1,140,475,25,15,-1
1,141,445,25,14,-1
1,142,415,25,13,-1
1,143,385,25,12,-1
1,144,355,25,11,-1
2,140,774,24,25,-1
2,141,775,25,25,-1
2,142,805,25,26,-1
2,143,804,24,26,-1
2,144,803,23,26,-1
3,140,274,4,9,-1
3,141,244,4,8,-1
3,142,214,4,7,-1
3,143,184,4,6,-1
3,144,154,4,5,-1
4,140,488,8,16,-1
4,141,489,9,16,-1
4,142,490,10,16,-1
4,143,491,11,16,-1
4,144,492,12,16,-1
0,145,796,16,26,-1
0,146,766,16,25,-1
0,147,736,16,24,-1
0,148,706,16,23,-1
0,149,676,16,22,-1
1,145,325,25,10,-1
1,146,295,25,9,-1
1,147,265,25,8,-1
1,148,235,25,7,-1
1,149,205,25,6,-1
2,145,802,22,26,-1
2,146,801,21,26,-1
2,147,800,20,26,-1
2,148,799,19,26,-1
2,149,798,18,26,-1
3,145,124,4,4,-1
3,146,154,4,5,-1
3,147,184,4,6,-1
3,148,214,4,7,-1
3,149,244,4,8,-1
4,145,493,13,16,-1
4,146,494,14,16,-1
4,147,495,15,16,-1
4,148,496,16,16,-1
4,149,497,17,16,-1
0,150,646,16,21,-1
0,151,616,16,20,-1
0,152,617,17,20,-1
0,153,587,17,19,-1
0,154,557,17,18,-1
1,150,175,25,5,-1
1,151,145,25,4,-1
1,152,144,24,4,-1
1,153,143,23,4,-1
1,154,142,22,4,-1
2,150,797,17,26,-1
2,151,796,16,26,-1
2,152,766,16,25,-1
2,153,736,16,24,-1
2,154,706,16,23,-1
3,150,274,4,9,-1
3,151,304,4,10,-1
3,152,334,4,11,-1
3,153,364,4,12,-1
3,154,394,4,13,-1
4,150,498,18,16,-1
4,151,499,19,16,-1
4,152,500,20,16,-1
4,153,501,21,16,-1
4,154,471,21,15,-1
0,155,527,17,17,-1
0,156,526,16,17,-1
0,157,525,15,17,-1
0,158,495,15,16,-1
0,159,465,15,15,-1
1,155,141,21,4,-1
1,156,140,20,4,-1
1,157,139,19,4,-1
1,158,138,18,4,-1
1,159,137,17,4,-1
2,155,676,16,22,-1
2,156,646,16,21,-1
2,157,616,16,20,-1
2,158,617,17,20,-1
2,159,587,17,19,-1
3,155,424,4,14,-1
3,156,454,4,15,-1
3,157,484,4,16,-1
3,158,485,5,16,-1
3,159,486,6,16,-1
4,155,472,22,15,-1
4,156,473,23,15,-1
4,157,474,24,15,-1
4,158,475,25,15,-1
4,159,445,25,14,-1
0,160,435,15,14,-1
0,161,405,15,13,-1
0,162,375,15,12,-1
0,163,345,15,11,-1
0,164,315,15,10,-1
1,160,167,17,5,-1
1,161,166,16,5,-1
1,162,196,16,6,-1
1,163,226,16,7,-1
1,164,256,16,8,-1
2,160,557,17,18,-1
2,161,527,17,17,-1
2,162,497,17,16,-1
2,163,498,18,16,-1
2,164,499,19,16,-1
3,160,487,7,16,-1
3,161,488,8,16,-1
3,162,489,9,16,-1
3,163,490,10,16,-1
3,164,491,11,16,-1
4,160,415,25,13,-1
4,161,385,25,12,-1
4,162,355,25,11,-1
4,163,325,25,10,-1
4,164,295,25,9,-1
0,165,285,15,9,-1
0,166,255,15,8,-1
0,167,225,15,7,-1
0,168,195,15,6,-1
0,169,165,15,5,-1
1,165,286,16,9,-1
1,166,316,16,10,-1
1,167,346,16,11,-1
1,168,376,16,12,-1
1,169,406,16,13,-1
2,165,500,20,16,-1
2,166,501,21,16,-1
2,167,471,21,15,-1
2,168,472,22,15,-1
2,169,473,23,15,-1
3,165,492,12,16,-1
3,166,493,13,16,-1
3,167,494,14,16,-1
3,168,495,15,16,-1
3,169,496,16,16,-1
4,165,265,25,8,-1
4,166,235,25,7,-1
4,167,205,25,6,-1
4,168,175,25,5,-1
4,169,145,25,4,-1
0,170,135,15,4,-1
0,171,134,14,4,-1
0,172,133,13,4,-1
0,173,132,12,4,-1
0,174,131,11,4,-1
1,170,436,16,14,-1
1,171,466,16,15,-1
1,172,465,15,15,-1
1,173,464,14,15,-1
1,174,463,13,15,-1
2,170,474,24,15,-1
2,171,475,25,15,-1
2,172,445,25,14,-1
2,173,415,25,13,-1
2,174,385,25,12,-1
3,170,526,16,17,-1
3,171,556,16,18,-1
3,172,586,16,19,-1
3,173,616,16,20,-1
3,174,646,16,21,-1
4,170,144,24,4,-1
4,171,143,23,4,-1
4,172,142,22,4,-1
4,173,141,21,4,-1
4,174,140,20,4,-1
0,175,130,10,4,-1
0,176,129,9,4,-1
0,177,128,8,4,-1
0,178,127,7,4,-1
0,179,126,6,4,-1
1,175,462,12,15,-1
1,176,461,11,15,-1
1,177,460,10,15,-1
1,178,459,9,15,-1
1,179,458,8,15,-1
2,175,355,25,11,-1
2,176,325,25,10,-1
2,177,295,25,9,-1
2,178,265,25,8,-1
2,179,235,25,7,-1
3,175,676,16,22,-1
3,176,706,16,23,-1
3,177,736,16,24,-1
3,178,766,16,25,-1
3,179,767,17,25,-1
4,175,139,19,4,-1
4,176,138,18,4,-1
4,177,137,17,4,-1
4,178,136,16,4,-1
4,179,135,15,4,-1
0,180,125,5,4,-1
0,181,124,4,4,-1
0,182,125,5,4,-1
0,183,126,6,4,-1
0,184,127,7,4,-1
1,180,457,7,15,-1
1,181,456,6,15,-1
1,182,455,5,15,-1
1,183,454,4,15,-1
1,184,484,4,16,-1
2,180,205,25,6,-1
2,181,175,25,5,-1
2,182,145,25,4,-1
2,183,175,25,5,-1
2,184,205,25,6,-1
3,180,768,18,25,-1
3,181,769,19,25,-1
3,182,770,20,25,-1
3,183,771,21,25,-1
3,184,772,22,25,-1
4,180,134,14,4,-1
4,181,133,13,4,-1
4,182,132,12,4,-1
4,183,131,11,4,-1
4,184,130,10,4,-1
0,185,128,8,4,-1
0,186,98,8,3,-1
0,187,128,8,4,-1
0,188,129,9,4,-1
0,189,130,10,4,-1
1,185,514,4,17,-1
1,186,544,4,18,-1
1,187,543,3,18,-1
1,188,573,3,19,-1
1,189,603,3,20,-1
2,185,235,25,7,-1
2,186,265,25,8,-1
2,187,295,25,9,-1
2,188,325,25,10,-1
2,189,355,25,11,-1
3,185,773,23,25,-1
3,186,774,24,25,-1
3,187,775,25,25,-1
3,188,805,25,26,-1
3,189,804,24,26,-1
4,185,129,9,4,-1
4,186,128,8,4,-1
4,187,127,7,4,-1
4,188,126,6,4,-1
4,189,125,5,4,-1
0,190,131,11,4,-1
0,191,132,12,4,-1
0,192,133,13,4,-1
0,193,134,14,4,-1
0,194,135,15,4,-1
1,190,633,3,21,-1
1,191,663,3,22,-1
1,192,693,3,23,-1
1,193,723,3,24,-1
1,194,753,3,25,-1
2,190,385,25,12,-1
2,191,415,25,13,-1
2,192,445,25,14,-1
2,193,475,25,15,-1
2,194,505,25,16,-1
3,190,803,23,26,-1
3,191,802,22,26,-1
3,192,801,21,26,-1
3,193,800,20,26,-1
3,194,799,19,26,-1
4,190,124,4,4,-1
4,191,125,5,4,-1
4,192,126,6,4,-1
4,193,127,7,4,-1
4,194,128,8,4,-1
0,195,134,14,4,-1
0,196,133,13,4,-1
0,197,132,12,4,-1
0,198,102,12,3,-1
0,199,132,12,4,-1
1,195,754,4,25,-1
1,196,724,4,24,-1
1,197,694,4,23,-1
1,198,664,4,22,-1
1,199,634,4,21,-1
2,195,535,25,17,-1
2,196,565,25,18,-1
2,197,595,25,19,-1
2,198,625,25,20,-1
2,199,655,25,21,-1
3,195,798,18,26,-1
3,196,797,17,26,-1
3,197,796,16,26,-1
3,198,766,16,25,-1
3,199,765,15,25,-1
